Freq.	V(vo)
Step Information: Run=1  (Run: 1/10)
1.47910838816820e+002	(-2.41529302424769e-002dB,1.75743692548459e+002°)
1.51356124843620e+002	(-2.52797672910297e-002dB,1.75644927298127e+002°)
1.54881661891248e+002	(-2.64593972505917e-002dB,1.75543888335521e+002°)
1.58489319246111e+002	(-2.76942781361114e-002dB,1.75440524602030e+002°)
1.62181009735892e+002	(-2.89869809346588e-002dB,1.75334783983941e+002°)
1.65958690743755e+002	(-3.03401946567219e-002dB,1.75226613297237e+002°)
1.69824365246174e+002	(-3.17567315998132e-002dB,1.75115958272671e+002°)
1.73780082874937e+002	(-3.32395328320474e-002dB,1.75002763541194e+002°)
1.77827941003892e+002	(-3.47916739033537e-002dB,1.74886972619761e+002°)
1.81970085860998e+002	(-3.64163707922655e-002dB,1.74768527897592e+002°)
1.86208713666286e+002	(-3.81169860962574e-002dB,1.74647370622945e+002°)
1.90546071796324e+002	(-3.98970354736950e-002dB,1.74523440890459e+002°)
1.94984459975804e+002	(-4.17601943455706e-002dB,1.74396677629146e+002°)
1.99526231496887e+002	(-4.37103048652470e-002dB,1.74267018591112e+002°)
2.04173794466952e+002	(-4.57513831644028e-002dB,1.74134400341075e+002°)
2.08929613085403e+002	(-4.78876268834701e-002dB,1.73998758246777e+002°)
2.13796208950222e+002	(-5.01234229946881e-002dB,1.73860026470389e+002°)
2.18776162394954e+002	(-5.24633559259453e-002dB,1.73718137960985e+002°)
2.23872113856833e+002	(-5.49122159933882e-002dB,1.73573024448222e+002°)
2.29086765276776e+002	(-5.74750081506234e-002dB,1.73424616437314e+002°)
2.34422881531991e+002	(-6.01569610621528e-002dB,1.73272843205433e+002°)
2.39883291901948e+002	(-6.29635365083507e-002dB,1.73117632799668e+002°)
2.45470891568502e+002	(-6.59004391290198e-002dB,1.72958912036658e+002°)
2.51188643150957e+002	(-6.89736265121027e-002dB,1.72796606504076e+002°)
2.57039578276885e+002	(-7.21893196336184e-002dB,1.72630640564086e+002°)
2.63026799189537e+002	(-7.55540136544236e-002dB,1.72460937358951e+002°)
2.69153480392690e+002	(-7.90744890785613e-002dB,1.72287418818966e+002°)
2.75422870333816e+002	(-8.27578232773738e-002dB,1.72110005672889e+002°)
2.81838293126444e+002	(-8.66114023825106e-002dB,1.71928617461065e+002°)
2.88403150312659e+002	(-9.06429335500508e-002dB,1.71743172551445e+002°)
2.95120922666637e+002	(-9.48604575968153e-002dB,1.71553588158715e+002°)
3.01995172040200e+002	(-9.92723620086152e-002dB,1.71359780366755e+002°)
3.09029543251358e+002	(-1.03887394318783e-001dB,1.71161664154664e+002°)
3.16227766016837e+002	(-1.08714675853738e-001dB,1.70959153426596e+002°)
3.23593656929627e+002	(-1.13763715840549e-001dB,1.70752161045669e+002°)
3.31131121482590e+002	(-1.19044425869423e-001dB,1.70540598872203e+002°)
3.38844156139201e+002	(-1.24567134702042e-001dB,1.70324377806592e+002°)
3.46736850452530e+002	(-1.30342603414037e-001dB,1.70103407837071e+002°)
3.54813389233574e+002	(-1.36382040857477e-001dB,1.69877598092703e+002°)
3.63078054770100e+002	(-1.42697119426267e-001dB,1.69646856901899e+002°)
3.71535229097171e+002	(-1.49299991104225e-001dB,1.69411091856776e+002°)
3.80189396320559e+002	(-1.56203303772255e-001dB,1.69170209883717e+002°)
3.89045144994279e+002	(-1.63420217747293e-001dB,1.68924117320447e+002°)
3.98107170553495e+002	(-1.70964422521748e-001dB,1.68672720000008e+002°)
4.07380277804111e+002	(-1.78850153667872e-001dB,1.68415923341958e+002°)
4.16869383470333e+002	(-1.87092209866849e-001dB,1.68153632451200e+002°)
4.26579518801591e+002	(-1.95705970017463e-001dB,1.67885752224771e+002°)
4.36515832240164e+002	(-2.04707410373983e-001dB,1.67612187467001e+002°)
4.46683592150961e+002	(-2.14113121657198e-001dB,1.67332843013399e+002°)
4.57088189614873e+002	(-2.23940326076624e-001dB,1.67047623863635e+002°)
4.67735141287196e+002	(-2.34206894195678e-001dB,1.66756435324007e+002°)
4.78630092322636e+002	(-2.44931361564816e-001dB,1.66459183159749e+002°)
4.89778819368444e+002	(-2.56132945040879e-001dB,1.66155773757524e+002°)
5.01187233627270e+002	(-2.67831558703482e-001dB,1.65846114298466e+002°)
5.12861383991362e+002	(-2.80047829271788e-001dB,1.65530112942075e+002°)
5.24807460249770e+002	(-2.92803110917207e-001dB,1.65207679021275e+002°)
5.37031796370250e+002	(-3.06119499359463e-001dB,1.64878723248925e+002°)
5.49540873857622e+002	(-3.20019845125344e-001dB,1.64543157936000e+002°)
5.62341325190346e+002	(-3.34527765840971e-001dB,1.64200897221676e+002°)
5.75439937337154e+002	(-3.49667657420061e-001dB,1.63851857315470e+002°)
5.88843655355586e+002	(-3.65464704002245e-001dB,1.63495956751551e+002°)
6.02559586074355e+002	(-3.81944886487032e-001dB,1.63133116655291e+002°)
6.16595001861479e+002	(-3.99134989500943e-001dB,1.62763261022025e+002°)
6.30957344480190e+002	(-4.17062606627362e-001dB,1.62386317007972e+002°)
6.45654229034652e+002	(-4.35756143721124e-001dB,1.62002215233141e+002°)
6.60693448007592e+002	(-4.55244820122969e-001dB,1.61610890095977e+002°)
6.76082975391978e+002	(-4.75558667582490e-001dB,1.61212280099413e+002°)
6.91830970918933e+002	(-4.96728526692970e-001dB,1.60806328187876e+002°)
7.07945784384134e+002	(-5.18786040636734e-001dB,1.60392982094681e+002°)
7.24435960074986e+002	(-5.41763646036588e-001dB,1.59972194699140e+002°)
7.41310241300914e+002	(-5.65694560706804e-001dB,1.59543924392564e+002°)
7.58577575029180e+002	(-5.90612768096831e-001dB,1.59108135452207e+002°)
7.76247116628688e+002	(-6.16552998222310e-001dB,1.58664798422055e+002°)
7.94328234724277e+002	(-6.43550704881372e-001dB,1.58213890499208e+002°)
8.12830516164095e+002	(-6.71642038959850e-001dB,1.57755395924443e+002°)
8.31763771102666e+002	(-7.00863817637061e-001dB,1.57289306375391e+002°)
8.51138038202372e+002	(-7.31253489314441e-001dB,1.56815621360580e+002°)
8.70963589956076e+002	(-7.62849094102910e-001dB,1.56334348612447e+002°)
8.91250938133741e+002	(-7.95689219721183e-001dB,1.55845504477238e+002°)
9.12010839355905e+002	(-8.29812952677039e-001dB,1.55349114299555e+002°)
9.33254300796986e+002	(-8.65259824626348e-001dB,1.54845212799151e+002°)
9.54992586021431e+002	(-9.02069753831057e-001dB,1.54333844437423e+002°)
9.77237220955805e+002	(-9.40282981666962e-001dB,1.53815063770896e+002°)
9.99999999999994e+002	(-9.79940004165336e-001dB,1.53288935788866e+002°)
1.02329299228075e+003	(-1.02108149860891e+000dB,1.52755536232278e+002°)
1.04712854805089e+003	(-1.06374824524253e+000dB,1.52214951890773e+002°)
1.07151930523760e+003	(-1.10798104420168e+000dB,1.51667280874808e+002°)
1.09647819614318e+003	(-1.15382062780753e+000dB,1.51112632859694e+002°)
1.12201845430196e+003	(-1.20130756842558e+000dB,1.50551129298352e+002°)
1.14815362149688e+003	(-1.25048218213500e+000dB,1.49982903599658e+002°)
1.17489755493952e+003	(-1.30138442850738e+000dB,1.49408101269240e+002°)
1.20226443461741e+003	(-1.35405380684661e+000dB,1.48826880009714e+002°)
1.23026877081237e+003	(-1.40852924929454e+000dB,1.48239409777466e+002°)
1.25892541179416e+003	(-1.46484901125970e+000dB,1.47645872793247e+002°)
1.28824955169313e+003	(-1.52305055967796e+000dB,1.47046463504078e+002°)
1.31825673855640e+003	(-1.58317045966349e+000dB,1.46441388494202e+002°)
1.34896288259165e+003	(-1.64524426015477e+000dB,1.45830866343133e+002°)
1.38038426460288e+003	(-1.70930637920357e+000dB,1.45215127429180e+002°)
1.41253754462275e+003	(-1.77538998959243e+000dB,1.44594413677219e+002°)
1.44543977074592e+003	(-1.84352690549907e+000dB,1.43968978249899e+002°)
1.47910838816820e+003	(-1.91374747095185e+000dB,1.43339085181917e+002°)
1.51356124843620e+003	(-1.98608045083941e+000dB,1.42705008957479e+002°)
1.54881661891247e+003	(-2.06055292524825e+000dB,1.42067034031578e+002°)
1.58489319246110e+003	(-2.13719018790439e+000dB,1.41425454296230e+002°)
1.62181009735892e+003	(-2.21601564948819e+000dB,1.40780572493345e+002°)
1.65958690743755e+003	(-2.29705074657552e+000dB,1.40132699576434e+002°)
1.69824365246173e+003	(-2.38031485693226e+000dB,1.39482154023910e+002°)
1.73780082874936e+003	(-2.46582522185393e+000dB,1.38829261107209e+002°)
1.77827941003891e+003	(-2.55359687619753e+000dB,1.38174352117494e+002°)
1.81970085860997e+003	(-2.64364258669870e+000dB,1.37517763555132e+002°)
1.86208713666286e+003	(-2.73597279910493e+000dB,1.36859836286570e+002°)
1.90546071796323e+003	(-2.83059559458588e+000dB,1.36200914673619e+002°)
1.94984459975803e+003	(-2.92751665580464e+000dB,1.35541345680447e+002°)
1.99526231496887e+003	(-3.02673924295129e+000dB,1.34881477963885e+002°)
2.04173794466952e+003	(-3.12826417995312e+000dB,1.34221660952813e+002°)
2.08929613085403e+003	(-3.23208985098499e+000dB,1.33562243922546e+002°)
2.13796208950222e+003	(-3.33821220731146e+000dB,1.32903575070187e+002°)
2.18776162394954e+003	(-3.44662478439889e+000dB,1.32246000596909e+002°)
2.23872113856832e+003	(-3.55731872914456e+000dB,1.31589863803048e+002°)
2.29086765276776e+003	(-3.67028283697944e+000dB,1.30935504201718e+002°)
2.34422881531991e+003	(-3.78550359851620e+000dB,1.30283256656467e+002°)
2.39883291901947e+003	(-3.90296525533262e+000dB,1.29633450548195e+002°)
2.45470891568501e+003	(-4.02264986440616e+000dB,1.28986408976201e+002°)
2.51188643150956e+003	(-4.14453737064766e+000dB,1.28342447997876e+002°)
2.57039578276885e+003	(-4.26860568692257e+000dB,1.27701875911071e+002°)
2.63026799189536e+003	(-4.39483078089717e+000dB,1.27064992582757e+002°)
2.69153480392690e+003	(-4.52318676800560e+000dB,1.26432088827026e+002°)
2.75422870333815e+003	(-4.65364600980086e+000dB,1.25803445835043e+002°)
2.81838293126443e+003	(-4.78617921693072e+000dB,1.25179334658941e+002°)
2.88403150312659e+003	(-4.92075555596597e+000dB,1.24560015751201e+002°)
2.95120922666636e+003	(-5.05734275930464e+000dB,1.23945738560467e+002°)
3.01995172040199e+003	(-5.19590723738109e+000dB,1.23336741184260e+002°)
3.09029543251357e+003	(-5.33641419242215e+000dB,1.22733250078554e+002°)
3.16227766016836e+003	(-5.47882773301366e+000dB,1.22135479823702e+002°)
3.23593656929626e+003	(-5.62311098876910e+000dB,1.21543632945753e+002°)
3.31131121482589e+003	(-5.76922622442641e+000dB,1.20957899791802e+002°)
3.38844156139200e+003	(-5.91713495273862e+000dB,1.20378458457645e+002°)
3.46736850452529e+003	(-6.06679804556818e+000dB,1.19805474765676e+002°)
3.54813389233573e+003	(-6.21817584264249e+000dB,1.19239102290687e+002°)
