time	V(n002)
Step Information: Run=2  (Run: 1/99)
4.810931071999132e-003	1.960332e-006
4.913331071999413e-003	9.572169e-007
5.015731071999693e-003	-4.688898e-008
5.118131071999973e-003	-1.050946e-006
5.220531072000253e-003	-2.053916e-006
5.322931072000533e-003	-3.054761e-006
5.425331072000813e-003	-4.052444e-006
5.527731072001093e-003	-5.045934e-006
5.630131072001373e-003	-6.034202e-006
5.732531072001653e-003	-7.016226e-006
5.834931072001933e-003	-7.990990e-006
5.937331072002213e-003	-8.957484e-006
6.039731072002493e-003	-9.914709e-006
6.142131072002773e-003	-1.086167e-005
6.244531072003053e-003	-1.179740e-005
6.346931072003333e-003	-1.272092e-005
6.449331072003613e-003	-1.363127e-005
6.551731072003893e-003	-1.452752e-005
6.654131072004173e-003	-1.540873e-005
6.756531072004453e-003	-1.627400e-005
6.858931072004733e-003	-1.712243e-005
6.961331072005013e-003	-1.795314e-005
7.063731072005293e-003	-1.876527e-005
7.166131072005573e-003	-1.955799e-005
7.268531072005854e-003	-2.033046e-005
7.370931072006134e-003	-2.108189e-005
7.473331072006414e-003	-2.181151e-005
7.575731072006694e-003	-2.251856e-005
7.678131072006974e-003	-2.320231e-005
7.780531072007254e-003	-2.386205e-005
7.882931072006922e-003	-2.449709e-005
7.985331072006314e-003	-2.510679e-005
8.087731072005706e-003	-2.569050e-005
8.190131072005098e-003	-2.624763e-005
8.292531072004490e-003	-2.677760e-005
8.394931072003882e-003	-2.727985e-005
8.497331072003274e-003	-2.775388e-005
8.599731072002665e-003	-2.819919e-005
8.702131072002057e-003	-2.861532e-005
8.804531072001449e-003	-2.900183e-005
8.906931072000841e-003	-2.935833e-005
9.009331072000233e-003	-2.968446e-005
9.111731071999625e-003	-2.997986e-005
9.214131071999017e-003	-3.024424e-005
9.316531071998408e-003	-3.047733e-005
9.418931071997800e-003	-3.067888e-005
9.521331071997192e-003	-3.084867e-005
9.623731071996584e-003	-3.098655e-005
9.726131071995976e-003	-3.109236e-005
9.828531071995368e-003	-3.116600e-005
9.930931071994760e-003	-3.120739e-005
9.999931071994350e-003	-3.121706e-005
1.000000000000000e-002	-3.121706e-005
Step Information: Run=4  (Run: 3/99)
0.000000000000000e+000	0.000000e+000
5.731071999476257e-006	1.381378e-005
1.383107199947630e-005	2.392916e-005
2.793107199947619e-005	3.024734e-005
1.005310719994779e-004	3.239510e-005
2.029310719994804e-004	3.235102e-005
3.053310719994828e-004	3.227158e-005
4.077310719994853e-004	3.215874e-005
5.101310719994760e-004	3.201261e-005
6.125310719994230e-004	3.183336e-005
7.149310719993699e-004	3.162117e-005
8.173310719993169e-004	3.137626e-005
9.197310719992639e-004	3.109888e-005
1.022131071999260e-003	3.078932e-005
1.124531071999318e-003	3.044789e-005
1.226931071999376e-003	3.007496e-005
1.329331071999434e-003	2.967091e-005
1.431731071999492e-003	2.923615e-005
1.534131071999550e-003	2.877114e-005
1.636531071999608e-003	2.827635e-005
1.738931071999666e-003	2.775231e-005
1.841331071999724e-003	2.719954e-005
1.943731071999782e-003	2.661863e-005
2.046131071999639e-003	2.601018e-005
2.148531071999475e-003	2.537481e-005
2.250931071999310e-003	2.471318e-005
2.353331071999146e-003	2.402597e-005
2.455731071998982e-003	2.331391e-005
2.558131071998818e-003	2.257772e-005
2.660531071998654e-003	2.181816e-005
2.762931071998490e-003	2.103603e-005
2.865331071998326e-003	2.023213e-005
2.967731071998162e-003	1.940729e-005
3.070131071997998e-003	1.856237e-005
3.172531071997834e-003	1.769824e-005
3.274931071997670e-003	1.681580e-005
3.377331071997506e-003	1.591596e-005
3.479731071997342e-003	1.499964e-005
3.582131071997178e-003	1.406780e-005
3.684531071997014e-003	1.312141e-005
3.786931071996850e-003	1.216144e-005
3.889331071996686e-003	1.118888e-005
3.991731071996892e-003	1.020475e-005
4.094131071997172e-003	9.210051e-006
4.196531071997452e-003	8.205825e-006
4.298931071997732e-003	7.193107e-006
4.401331071998012e-003	6.172946e-006
4.503731071998292e-003	5.146397e-006
4.606131071998572e-003	4.114523e-006
4.708531071998852e-003	3.078391e-006
4.810931071999132e-003	2.039073e-006
4.913331071999413e-003	9.976449e-007
5.015731071999693e-003	-4.481531e-008
5.118131071999973e-003	-1.087229e-006
5.220531072000253e-003	-2.128518e-006
5.322931072000533e-003	-3.167604e-006
5.425331072000813e-003	-4.203412e-006
5.527731072001093e-003	-5.234871e-006
5.630131072001373e-003	-6.260912e-006
5.732531072001653e-003	-7.280475e-006
5.834931072001933e-003	-8.292503e-006
5.937331072002213e-003	-9.295951e-006
6.039731072002493e-003	-1.028978e-005
6.142131072002773e-003	-1.127296e-005
6.244531072003053e-003	-1.224447e-005
6.346931072003333e-003	-1.320332e-005
6.449331072003613e-003	-1.414850e-005
6.551731072003893e-003	-1.507904e-005
6.654131072004173e-003	-1.599397e-005
6.756531072004453e-003	-1.689236e-005
6.858931072004733e-003	-1.777326e-005
6.961331072005013e-003	-1.863577e-005
7.063731072005293e-003	-1.947900e-005
7.166131072005573e-003	-2.030207e-005
7.268531072005854e-003	-2.110413e-005
7.370931072006134e-003	-2.188436e-005
7.473331072006414e-003	-2.264193e-005
7.575731072006694e-003	-2.337608e-005
7.678131072006974e-003	-2.408604e-005
7.780531072007254e-003	-2.477107e-005
7.882931072006922e-003	-2.543047e-005
7.985331072006314e-003	-2.606355e-005
8.087731072005706e-003	-2.666966e-005
8.190131072005098e-003	-2.724818e-005
8.292531072004490e-003	-2.779849e-005
8.394931072003882e-003	-2.832004e-005
8.497331072003274e-003	-2.881229e-005
8.599731072002665e-003	-2.927472e-005
8.702131072002057e-003	-2.970685e-005
8.804531072001449e-003	-3.010825e-005
8.906931072000841e-003	-3.047849e-005
9.009331072000233e-003	-3.081718e-005
9.111731071999625e-003	-3.112399e-005
9.214131071999017e-003	-3.139859e-005
9.316531071998408e-003	-3.164070e-005
9.418931071997800e-003	-3.185007e-005
9.521331071997192e-003	-3.202648e-005
9.623731071996584e-003	-3.216974e-005
9.726131071995976e-003	-3.227972e-005
9.828531071995368e-003	-3.235630e-005
9.930931071994760e-003	-3.239938e-005
9.999931071994350e-003	-3.240952e-005
1.000000000000000e-002	-3.240952e-005
Step Information: Run=5  (Run: 4/99)
0.000000000000000e+000	0.000000e+000
5.831071999476257e-006	1.376817e-005
1.433107199947630e-005	2.351919e-005
3.043107199947617e-005	2.915138e-005
1.005310719994779e-004	3.046178e-005
2.029310719994804e-004	3.041932e-005
3.053310719994828e-004	3.034443e-005
4.077310719994853e-004	3.023813e-005
5.101310719994760e-004	3.010055e-005
6.125310719994230e-004	2.993181e-005
7.149310719993699e-004	2.973210e-005
8.173310719993169e-004	2.950163e-005
9.197310719992639e-004	2.924062e-005
1.022131071999260e-003	2.894936e-005
1.124531071999318e-003	2.862814e-005
1.226931071999376e-003	2.827729e-005
1.329331071999434e-003	2.789719e-005
1.431731071999492e-003	2.748821e-005
1.534131071999550e-003	2.705079e-005
1.636531071999608e-003	2.658538e-005
1.738931071999666e-003	2.609245e-005
1.841331071999724e-003	2.557253e-005
1.943731071999782e-003	2.502614e-005
2.046131071999639e-003	2.445386e-005
2.148531071999475e-003	2.385627e-005
2.250931071999310e-003	2.323399e-005
2.353331071999146e-003	2.258767e-005
2.455731071998982e-003	2.191797e-005
2.558131071998818e-003	2.122560e-005
2.660531071998654e-003	2.051126e-005
2.762931071998490e-003	1.977570e-005
2.865331071998326e-003	1.901967e-005
2.967731071998162e-003	1.824396e-005
3.070131071997998e-003	1.744937e-005
3.172531071997834e-003	1.663672e-005
3.274931071997670e-003	1.580686e-005
3.377331071997506e-003	1.496064e-005
3.479731071997342e-003	1.409894e-005
3.582131071997178e-003	1.322265e-005
3.684531071997014e-003	1.233267e-005
3.786931071996850e-003	1.142994e-005
3.889331071996686e-003	1.051537e-005
3.991731071996892e-003	9.589928e-006
4.094131071997172e-003	8.654559e-006
4.196531071997452e-003	7.710234e-006
4.298931071997732e-003	6.757930e-006
4.401331071998012e-003	5.798634e-006
4.503731071998292e-003	4.833336e-006
4.606131071998572e-003	3.863038e-006
4.708531071998852e-003	2.888741e-006
4.810931071999132e-003	1.911456e-006
4.913331071999413e-003	9.321920e-007
5.015731071999693e-003	-4.803631e-008
5.118131071999973e-003	-1.028215e-006
5.220531072000253e-003	-2.007329e-006
5.322931072000533e-003	-2.984367e-006
5.425331072000813e-003	-3.958316e-006
5.527731072001093e-003	-4.928169e-006
5.630131072001373e-003	-5.892922e-006
5.732531072001653e-003	-6.851577e-006
5.834931072001933e-003	-7.803143e-006
5.937331072002213e-003	-8.746632e-006
6.039731072002493e-003	-9.681072e-006
6.142131072002773e-003	-1.060549e-005
6.244531072003053e-003	-1.151894e-005
6.346931072003333e-003	-1.242047e-005
6.449331072003613e-003	-1.330914e-005
6.551731072003893e-003	-1.418404e-005
6.654131072004173e-003	-1.504426e-005
6.756531072004453e-003	-1.588892e-005
6.858931072004733e-003	-1.671713e-005
6.961331072005013e-003	-1.752805e-005
7.063731072005293e-003	-1.832082e-005
7.166131072005573e-003	-1.909464e-005
7.268531072005854e-003	-1.984870e-005
7.370931072006134e-003	-2.058221e-005
7.473331072006414e-003	-2.129443e-005
7.575731072006694e-003	-2.198462e-005
7.678131072006974e-003	-2.265205e-005
7.780531072007254e-003	-2.329604e-005
7.882931072006922e-003	-2.391593e-005
7.985331072006314e-003	-2.451107e-005
8.087731072005706e-003	-2.508084e-005
8.190131072005098e-003	-2.562466e-005
8.292531072004490e-003	-2.614196e-005
8.394931072003882e-003	-2.663221e-005
8.497331072003274e-003	-2.709490e-005
8.599731072002665e-003	-2.752955e-005
8.702131072002057e-003	-2.793572e-005
8.804531072001449e-003	-2.831297e-005
8.906931072000841e-003	-2.866093e-005
9.009331072000233e-003	-2.897923e-005
9.111731071999625e-003	-2.926754e-005
9.214131071999017e-003	-2.952556e-005
9.316531071998408e-003	-2.975304e-005
9.418931071997800e-003	-2.994972e-005
9.521331071997192e-003	-3.011541e-005
9.623731071996584e-003	-3.024993e-005
9.726131071995976e-003	-3.035316e-005
9.828531071995368e-003	-3.042497e-005
9.930931071994760e-003	-3.046530e-005
9.999931071994350e-003	-3.047469e-005
