Time (s),Output (V)
3.102100635075721e-05,0.333984375
3.126526624328285e-05,0.3359375
3.15095261358085e-05,0.33984375
3.175378602833415e-05,0.341796875
3.199804592085979e-05,0.34375
3.224230581338545e-05,0.34765625
3.248656570591109e-05,0.349609375
3.273082559843674e-05,0.3515625
3.297508549096239e-05,0.35546875
3.321934538348803e-05,0.357421875
3.346360527601368e-05,0.359375
3.370786516853933e-05,0.36328125
3.395212506106497e-05,0.365234375
3.419638495359063e-05,0.3671875
3.444064484611627e-05,0.37109375
3.468490473864192e-05,0.373046875
3.492916463116757e-05,0.376953125
3.517342452369321e-05,0.37890625
3.541768441621885e-05,0.380859375
3.56619443087445e-05,0.384765625
3.590620420127015e-05,0.38671875
3.615046409379579e-05,0.388671875
3.639472398632145e-05,0.392578125
3.663898387884709e-05,0.39453125
3.688324377137274e-05,0.396484375
3.712750366389839e-05,0.400390625
3.737176355642403e-05,0.40234375
3.761602344894968e-05,0.404296875
3.786028334147533e-05,0.408203125
3.810454323400097e-05,0.41015625
3.834880312652663e-05,0.412109375
3.859306301905227e-05,0.416015625
3.883732291157792e-05,0.41796875
3.908158280410357e-05,0.419921875
3.932584269662921e-05,0.423828125
3.957010258915486e-05,0.42578125
3.981436248168051e-05,0.4296875
4.005862237420616e-05,0.431640625
4.030288226673181e-05,0.43359375
4.054714215925745e-05,0.4375
4.07914020517831e-05,0.439453125
4.103566194430875e-05,0.44140625
4.127992183683439e-05,0.4453125
4.152418172936004e-05,0.447265625
4.176844162188569e-05,0.44921875
4.201270151441134e-05,0.453125
4.225696140693698e-05,0.455078125
4.250122129946263e-05,0.45703125
4.274548119198828e-05,0.4609375
4.298974108451392e-05,0.462890625
4.323400097703957e-05,0.46484375
4.347826086956521e-05,0.46875
4.372252076209087e-05,0.470703125
4.396678065461651e-05,0.47265625
4.421104054714216e-05,0.4765625
4.445530043966781e-05,0.478515625
4.469956033219345e-05,0.482421875
4.49438202247191e-05,0.484375
4.518808011724475e-05,0.486328125
4.543234000977039e-05,0.490234375
4.567659990229605e-05,0.4921875
4.592085979482169e-05,0.494140625
4.616511968734734e-05,0.498046875
4.640937957987299e-05,0.5
4.665363947239863e-05,0.501953125
4.689789936492428e-05,0.505859375
4.714215925744993e-05,0.5078125
4.738641914997558e-05,0.509765625
4.763067904250122e-05,0.513671875
4.787493893502687e-05,0.515625
4.811919882755252e-05,0.517578125
4.836345872007816e-05,0.521484375
4.860771861260381e-05,0.5234375
4.885197850512946e-05,0.525390625
4.909623839765511e-05,0.529296875
4.934049829018076e-05,0.53125
4.95847581827064e-05,0.53515625
4.982901807523205e-05,0.537109375
5.00732779677577e-05,0.5390625
5.031753786028334e-05,0.54296875
5.056179775280899e-05,0.544921875
5.080605764533464e-05,0.546875
5.105031753786028e-05,0.55078125
5.129457743038593e-05,0.552734375
5.153883732291158e-05,0.5546875
5.178309721543723e-05,0.55859375
5.202735710796287e-05,0.560546875
5.227161700048852e-05,0.5625
5.251587689301417e-05,0.56640625
5.276013678553981e-05,0.568359375
5.300439667806546e-05,0.5703125
5.324865657059111e-05,0.57421875
5.349291646311676e-05,0.576171875
5.37371763556424e-05,0.578125
5.398143624816805e-05,0.58203125
5.42256961406937e-05,0.583984375
5.446995603321935e-05,0.587890625
5.471421592574499e-05,0.58984375
5.495847581827064e-05,0.591796875
5.520273571079629e-05,0.595703125
5.544699560332194e-05,0.59765625
5.569125549584758e-05,0.599609375
5.593551538837323e-05,0.603515625
5.617977528089888e-05,0.60546875
5.642403517342452e-05,0.607421875
5.666829506595018e-05,0.611328125
5.691255495847582e-05,0.61328125
5.715681485100147e-05,0.615234375
5.740107474352712e-05,0.619140625
5.764533463605276e-05,0.62109375
5.788959452857841e-05,0.623046875
5.813385442110406e-05,0.626953125
5.83781143136297e-05,0.62890625
5.862237420615535e-05,0.6328125
5.886663409868099e-05,0.634765625
5.911089399120664e-05,0.63671875
5.935515388373229e-05,0.640625
5.959941377625794e-05,0.642578125
5.984367366878358e-05,0.64453125
6.008793356130923e-05,0.6484375
6.033219345383488e-05,0.650390625
6.057645334636053e-05,0.65234375
6.082071323888618e-05,0.65625
6.106497313141182e-05,0.658203125
6.130923302393747e-05,0.66015625
6.155349291646311e-05,0.6640625
6.179775280898876e-05,0.666015625
6.204201270151441e-05,0.66796875
6.228627259404007e-05,0.671875
6.25305324865657e-05,0.673828125
6.277479237909136e-05,0.67578125
6.301905227161701e-05,0.6796875
6.326331216414265e-05,0.681640625
6.35075720566683e-05,0.685546875
6.375183194919395e-05,0.6875
6.399609184171959e-05,0.689453125
6.424035173424524e-05,0.693359375
6.448461162677089e-05,0.6953125
6.472887151929653e-05,0.697265625
6.497313141182218e-05,0.701171875
6.521739130434783e-05,0.703125
6.546165119687347e-05,0.705078125
6.570591108939912e-05,0.708984375
6.595017098192478e-05,0.7109375
6.619443087445041e-05,0.712890625
6.643869076697607e-05,0.716796875
6.668295065950172e-05,0.71875
6.692721055202736e-05,0.720703125
6.717147044455301e-05,0.724609375
6.741573033707866e-05,0.7265625
6.76599902296043e-05,0.728515625
6.790425012212995e-05,0.732421875
6.81485100146556e-05,0.734375
6.839276990718125e-05,0.73828125
6.863702979970689e-05,0.740234375
6.888128969223254e-05,0.7421875
6.91255495847582e-05,0.74609375
6.936980947728383e-05,0.748046875
6.961406936980949e-05,0.75
6.985832926233514e-05,0.75390625
7.010258915486078e-05,0.755859375
7.034684904738643e-05,0.7578125
7.059110893991207e-05,0.76171875
7.08353688324377e-05,0.763671875
7.107962872496336e-05,0.765625
7.132388861748901e-05,0.76953125
7.156814851001465e-05,0.771484375
7.18124084025403e-05,0.7734375
7.205666829506595e-05,0.77734375
7.230092818759159e-05,0.779296875
7.254518808011724e-05,0.78125
7.278944797264289e-05,0.78515625
7.303370786516853e-05,0.787109375
7.327796775769418e-05,0.791015625
7.352222765021983e-05,0.79296875
7.376648754274549e-05,0.794921875
7.401074743527112e-05,0.798828125
7.425500732779678e-05,0.80078125
7.449926722032243e-05,0.802734375
7.474352711284807e-05,0.806640625
7.498778700537372e-05,0.80859375
7.523204689789937e-05,0.810546875
7.547630679042501e-05,0.814453125
7.572056668295066e-05,0.81640625
7.596482657547631e-05,0.818359375
7.620908646800195e-05,0.822265625
7.64533463605276e-05,0.82421875
7.669760625305325e-05,0.826171875
7.694186614557889e-05,0.830078125
7.718612603810454e-05,0.83203125
7.74303859306302e-05,0.833984375
7.767464582315583e-05,0.837890625
7.791890571568149e-05,0.83984375
7.816316560820714e-05,0.84375
7.840742550073278e-05,0.845703125
7.865168539325843e-05,0.84765625
7.889594528578408e-05,0.8515625
7.914020517830972e-05,0.853515625
7.938446507083537e-05,0.85546875
7.962872496336102e-05,0.859375
7.987298485588667e-05,0.861328125
8.011724474841231e-05,0.86328125
8.036150464093796e-05,0.8671875
8.060576453346361e-05,0.869140625
8.085002442598925e-05,0.87109375
8.109428431851491e-05,0.875
8.133854421104056e-05,0.876953125
8.15828041035662e-05,0.87890625
8.182706399609185e-05,0.8828125
8.20713238886175e-05,0.884765625
8.231558378114314e-05,0.88671875
8.255984367366879e-05,0.890625
8.280410356619444e-05,0.892578125
8.304836345872008e-05,0.896484375
8.329262335124573e-05,0.8984375
8.353688324377138e-05,0.900390625
8.378114313629702e-05,0.904296875
8.402540302882267e-05,0.90625
8.426966292134832e-05,0.908203125
8.451392281387396e-05,0.912109375
8.475818270639961e-05,0.9140625
8.500244259892527e-05,0.916015625
8.52467024914509e-05,0.919921875
8.549096238397656e-05,0.921875
8.573522227650221e-05,0.923828125
8.597948216902785e-05,0.927734375
8.622374206155349e-05,0.9296875
8.646800195407914e-05,0.931640625
8.671226184660479e-05,0.935546875
8.695652173913043e-05,0.9375
8.720078163165608e-05,0.939453125
8.744504152418173e-05,0.943359375
8.768930141670737e-05,0.9453125
8.793356130923302e-05,0.94921875
8.817782120175867e-05,0.951171875
8.842208109428431e-05,0.953125
8.866634098680996e-05,0.95703125
8.891060087933561e-05,0.958984375
8.915486077186125e-05,0.9609375
8.93991206643869e-05,0.96484375
8.964338055691256e-05,0.966796875
8.988764044943819e-05,0.96875
9.013190034196385e-05,0.97265625
9.03761602344895e-05,0.974609375
9.062042012701514e-05,0.9765625
